Node Failure (%),Message Overhead,Algorithms
0.0,441.0,Plebi 0.5 prob topology
0.0,1252.0,Plebi 0.7 prob topology
0.0,2494.0,Plebi 0.9 prob topology
0.0,882.0,RAFT
0.0,315.0,Plebi 0.3 prob topology
0.0,647.0,Plebi 0.5 prob topology
0.0,1644.0,Plebi 0.7 prob topology
0.0,2889.0,Plebi 0.9 prob topology
0.0,882.0,RAFT
0.0,262.0,Plebi 0.3 prob topology
0.0,489.0,Plebi 0.5 prob topology
0.0,1615.0,Plebi 0.7 prob topology
0.0,2440.0,Plebi 0.9 prob topology
0.0,882.0,RAFT
0.0,257.0,Plebi 0.3 prob topology
0.0,438.0,Plebi 0.5 prob topology
0.0,1426.0,Plebi 0.7 prob topology
0.0,3340.0,Plebi 0.9 prob topology
0.0,882.0,RAFT
0.0,333.0,Plebi 0.3 prob topology
0.0,508.0,Plebi 0.5 prob topology
0.0,1622.0,Plebi 0.7 prob topology
0.0,2643.0,Plebi 0.9 prob topology
0.0,882.0,RAFT
0.0,265.0,Plebi 0.3 prob topology
0.0,549.0,Plebi 0.5 prob topology
0.0,1561.0,Plebi 0.7 prob topology
0.0,2657.0,Plebi 0.9 prob topology
0.0,890.0,RAFT
0.0,248.0,Plebi 0.3 prob topology
0.0,435.0,Plebi 0.5 prob topology
0.0,1566.0,Plebi 0.7 prob topology
0.0,2398.0,Plebi 0.9 prob topology
0.0,864.0,RAFT
10.0,480.0,Plebi 0.3 prob topology
10.0,672.0,Plebi 0.5 prob topology
10.0,2090.0,Plebi 0.7 prob topology
10.0,2576.0,Plebi 0.9 prob topology
10.0,852.0,RAFT
10.0,386.0,Plebi 0.3 prob topology
10.0,842.0,Plebi 0.5 prob topology
10.0,2161.0,Plebi 0.7 prob topology
10.0,2449.0,Plebi 0.9 prob topology
10.0,860.0,RAFT
10.0,276.0,Plebi 0.3 prob topology
10.0,661.0,Plebi 0.5 prob topology
10.0,1368.0,Plebi 0.7 prob topology
10.0,2503.0,Plebi 0.9 prob topology
10.0,850.0,RAFT
10.0,350.0,Plebi 0.3 prob topology
10.0,583.0,Plebi 0.5 prob topology
10.0,1463.0,Plebi 0.7 prob topology
10.0,2412.0,Plebi 0.9 prob topology
10.0,831.0,RAFT
10.0,402.0,Plebi 0.3 prob topology
10.0,690.0,Plebi 0.5 prob topology
10.0,1710.0,Plebi 0.7 prob topology
10.0,2067.0,Plebi 0.9 prob topology
10.0,865.0,RAFT
10.0,283.0,Plebi 0.3 prob topology
10.0,890.0,Plebi 0.5 prob topology
10.0,1658.0,Plebi 0.7 prob topology
10.0,2208.0,Plebi 0.9 prob topology
10.0,853.0,RAFT
10.0,339.0,Plebi 0.3 prob topology
10.0,879.0,Plebi 0.5 prob topology
10.0,1946.0,Plebi 0.7 prob topology
10.0,2023.0,Plebi 0.9 prob topology
10.0,822.0,RAFT
10.0,397.0,Plebi 0.3 prob topology
10.0,720.0,Plebi 0.5 prob topology
10.0,1483.0,Plebi 0.7 prob topology
10.0,1873.0,Plebi 0.9 prob topology
10.0,852.0,RAFT
10.0,407.0,Plebi 0.3 prob topology
10.0,911.0,Plebi 0.5 prob topology
10.0,1847.0,Plebi 0.7 prob topology
10.0,2122.0,Plebi 0.9 prob topology
10.0,823.0,RAFT
10.0,437.0,Plebi 0.3 prob topology
10.0,802.0,Plebi 0.5 prob topology
10.0,1565.0,Plebi 0.7 prob topology
10.0,2503.0,Plebi 0.9 prob topology
10.0,782.0,RAFT
10.0,150.0,Plebi 0.3 prob topology
10.0,740.0,Plebi 0.5 prob topology
10.0,2118.0,Plebi 0.7 prob topology
10.0,2239.0,Plebi 0.9 prob topology
10.0,842.0,RAFT
10.0,351.0,Plebi 0.3 prob topology
10.0,631.0,Plebi 0.5 prob topology
10.0,1499.0,Plebi 0.7 prob topology
10.0,2226.0,Plebi 0.9 prob topology
10.0,815.0,RAFT
10.0,334.0,Plebi 0.3 prob topology
10.0,646.0,Plebi 0.5 prob topology
10.0,1232.0,Plebi 0.7 prob topology
10.0,3018.0,Plebi 0.9 prob topology
10.0,859.0,RAFT
10.0,363.0,Plebi 0.3 prob topology
10.0,817.0,Plebi 0.5 prob topology
10.0,1267.0,Plebi 0.7 prob topology
10.0,2091.0,Plebi 0.9 prob topology
10.0,847.0,RAFT
10.0,403.0,Plebi 0.3 prob topology
10.0,706.0,Plebi 0.5 prob topology
10.0,901.0,Plebi 0.7 prob topology
10.0,2159.0,Plebi 0.9 prob topology
10.0,841.0,RAFT
10.0,330.0,Plebi 0.3 prob topology
10.0,640.0,Plebi 0.5 prob topology
10.0,1081.0,Plebi 0.7 prob topology
10.0,2109.0,Plebi 0.9 prob topology
10.0,795.0,RAFT
10.0,414.0,Plebi 0.3 prob topology
10.0,555.0,Plebi 0.5 prob topology
10.0,1204.0,Plebi 0.7 prob topology
10.0,2646.0,Plebi 0.9 prob topology
10.0,848.0,RAFT
10.0,158.0,Plebi 0.3 prob topology
10.0,863.0,Plebi 0.5 prob topology
10.0,1231.0,Plebi 0.7 prob topology
10.0,2382.0,Plebi 0.9 prob topology
10.0,823.0,RAFT
10.0,146.0,Plebi 0.3 prob topology
10.0,236.0,Plebi 0.5 prob topology
10.0,840.0,Plebi 0.7 prob topology
10.0,2352.0,Plebi 0.9 prob topology
10.0,831.0,RAFT
10.0,411.0,Plebi 0.3 prob topology
10.0,681.0,Plebi 0.5 prob topology
10.0,1214.0,Plebi 0.7 prob topology
10.0,2638.0,Plebi 0.9 prob topology
10.0,848.0,RAFT
10.0,317.0,Plebi 0.3 prob topology
10.0,662.0,Plebi 0.5 prob topology
10.0,1253.0,Plebi 0.7 prob topology
10.0,2689.0,Plebi 0.9 prob topology
10.0,888.0,RAFT
10.0,451.0,Plebi 0.3 prob topology
10.0,836.0,Plebi 0.5 prob topology
10.0,1289.0,Plebi 0.7 prob topology
10.0,1737.0,Plebi 0.9 prob topology
10.0,832.0,RAFT
10.0,312.0,Plebi 0.3 prob topology
10.0,217.0,Plebi 0.5 prob topology
10.0,1433.0,Plebi 0.7 prob topology
10.0,2205.0,Plebi 0.9 prob topology
10.0,807.0,RAFT
10.0,340.0,Plebi 0.3 prob topology
10.0,629.0,Plebi 0.5 prob topology
10.0,1330.0,Plebi 0.7 prob topology
10.0,1903.0,Plebi 0.9 prob topology
10.0,847.0,RAFT
10.0,307.0,Plebi 0.3 prob topology
10.0,777.0,Plebi 0.5 prob topology
10.0,1280.0,Plebi 0.7 prob topology
10.0,1944.0,Plebi 0.9 prob topology
10.0,836.0,RAFT
10.0,443.0,Plebi 0.3 prob topology
10.0,678.0,Plebi 0.5 prob topology
10.0,1342.0,Plebi 0.7 prob topology
10.0,2031.0,Plebi 0.9 prob topology
10.0,832.0,RAFT
10.0,374.0,Plebi 0.3 prob topology
10.0,676.0,Plebi 0.5 prob topology
10.0,1096.0,Plebi 0.7 prob topology
10.0,2266.0,Plebi 0.9 prob topology
10.0,826.0,RAFT
10.0,459.0,Plebi 0.3 prob topology
10.0,218.0,Plebi 0.5 prob topology
10.0,1341.0,Plebi 0.7 prob topology
10.0,1852.0,Plebi 0.9 prob topology
10.0,847.0,RAFT
10.0,202.0,Plebi 0.3 prob topology
10.0,672.0,Plebi 0.5 prob topology
10.0,821.0,Plebi 0.7 prob topology
